date,aircraft_model,location,country,source_url
"17th January, 2008",Boeing,"London, United Kingdom",United Kingdom,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"20th August, 2007",Boeing,"Okinawa, Japan",Japan,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"28th June, 2007",Boeing,"M'Banza Congo, Angola",Angola,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"5th May, 2007",Boeing,"Mbanga Pongo, Cameroon",Cameroon,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"7th March, 2007",Boeing,"Yogyakarta, Indonesia",Indonesia,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"1st January, 2007",Boeing,"Makassar, Indonesia",Indonesia,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"18th November, 2006",Boeing,"Leticia, Colombia",Colombia,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"29th October, 2006",Boeing,"Abuja, Nigeria",Nigeria,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"29th September, 2006",Boeing,"Peixoto Azevedo, Brazil",Brazil,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"12th April, 2006",Boeing,"Kinshasa, Congo",Congo,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"8th December, 2005",Boeing,"Chicago (IL), USA",United States,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"31st October, 2005",Boeing,"Maniema, Congo",Congo,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"22nd October, 2005",Boeing,"Lagos, Nigeria",Nigeria,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"5th September, 2005",Boeing,"Medan, Indonesia",Indonesia,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"23rd August, 2005",Boeing,"Pucallpa, Peru",Peru,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"14th August, 2005",Boeing,"Grammatikos, Greece",Greece,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"20th April, 2005",Boeing,"Tehran, Iran",Iran,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"19th March, 2005",Boeing,"Entebbe, Uganda",Uganda,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"3rd February, 2005",Boeing,"Kabul, Afghanistan",Afghanistan,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"14th October, 2004",Boeing,"Halifax, Nova Scotia, Canada",Canada,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"11th August, 2004",Boeing,"Freetown, Sierra Leone",Sierra Leone,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"3rd January, 2004",Boeing,"Sharm el-Sheikh, Egypt",Egypt,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"25th December, 2003",Boeing,"Cotonou, Benin",Benin,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
